iter	RMSE
0	9.612383874
1	9.348445262
2	9.078263155
3	8.865555131
4	8.635538787
5	8.406641537
6	8.194094172
7	8.002551489
8	7.808542824
9	7.620945014
10	7.426253652
11	7.253067358
12	7.080300566
13	6.919451671
14	6.766446753
15	6.625026945
16	6.497837623
17	6.358908946
18	6.231888483
19	6.101022957
20	5.986575173
21	5.870657197
22	5.761291006
23	5.663262212
24	5.550886811
25	5.452764156
26	5.361739114
27	5.266784849
28	5.178733683
29	5.088616713
30	5.007731174
31	4.924500207
32	4.845862754
33	4.765155147
34	4.692287868
35	4.621033601
36	4.560031958
37	4.48105329
38	4.410660744
39	4.346728152
40	4.272652935
41	4.211619526
42	4.14361187
43	4.079754255
44	4.021670238
45	3.961463147
46	3.902561231
47	3.851087179
48	3.79466366
49	3.743713629
50	3.693232621
51	3.638265199
52	3.589667815
53	3.55209552
54	3.503283862
55	3.45791826
56	3.413054061
57	3.368155681
58	3.324908748
59	3.2869798
60	3.247461019
61	3.213005576
62	3.174848653
63	3.142595814
64	3.108265687
65	3.078812919
66	3.04267976
67	3.011646359
68	2.973877915
69	2.942563065
70	2.914423794
71	2.88097933
72	2.852138733
73	2.821333484
74	2.794764187
75	2.767482685
76	2.742076159
77	2.717099493
78	2.692926955
79	2.668178415
80	2.646121698
81	2.622719145
82	2.597898529
83	2.578271881
84	2.55661263
85	2.535846853
86	2.513218207
87	2.494524492
88	2.476319837
89	2.459274457
90	2.433611885
91	2.414995752
92	2.394645591
93	2.372745607
94	2.354828119
95	2.336308786
96	2.32218471
97	2.305119136
98	2.288558523
99	2.2722388
100	2.25620769
101	2.241520273
102	2.226515397
103	2.211674414
104	2.196977017
105	2.185079305
106	2.171177649
107	2.157763797
108	2.139594237
109	2.122430384
110	2.108634905
111	2.089292942
112	2.07442661
113	2.058775862
114	2.049302279
115	2.032790263
116	2.020557637
117	2.00518502
118	1.99494327
119	1.983581995
120	1.973123468
121	1.95907784
122	1.948112977
123	1.934839084
124	1.924071088
125	1.913647451
126	1.906022057
127	1.889383976
128	1.874899579
129	1.861560941
130	1.852587994
131	1.843234479
132	1.83251983
133	1.821454265
134	1.81133277
135	1.802888549
136	1.794344921
137	1.7861062
138	1.771978463
139	1.757950126
140	1.745952256
141	1.739310153
142	1.727540915
143	1.719865154
144	1.708073109
145	1.701433357
146	1.690495161
147	1.684027537
148	1.669537859
149	1.662683668
150	1.655798248
151	1.648480376
152	1.643035206
153	1.636803187
154	1.630012466
155	1.621796539
156	1.614897055
157	1.604702998
158	1.593819648
159	1.58741364
160	1.581394693
161	1.575519497
162	1.565619874
163	1.554303886
164	1.544686057
165	1.536200824
166	1.530705133
167	1.525348647
168	1.519588517
169	1.509678066
170	1.503948962
171	1.494946052
172	1.489689986
173	1.481556643
174	1.472806064
175	1.462587464
176	1.452829082
177	1.447735199
178	1.44161405
179	1.433937182
180	1.42888659
181	1.423724153
182	1.415172709
183	1.410289821
184	1.406022794
185	1.400730327
186	1.393182404
187	1.385459392
188	1.380218949
189	1.375362393
190	1.370604487
191	1.366175434
192	1.35831907
193	1.351152337
194	1.346812455
195	1.338345213
196	1.333511202
197	1.326431916
198	1.322274083
199	1.318149332
200	1.313848113
201	1.306629336
202	1.302719185
203	1.298977077
204	1.292247866
205	1.285560922
206	1.278039022
207	1.273934395
208	1.26677889
209	1.259962711
210	1.253495517
211	1.249764186
212	1.242497845
213	1.23828507
214	1.231680051
215	1.224837974
216	1.218554214
217	1.212801204
218	1.206259201
219	1.202622531
220	1.198816871
221	1.193518454
222	1.190162682
223	1.184378663
224	1.178846346
225	1.175754021
226	1.17078485
227	1.167368761
228	1.162556844
229	1.157081386
230	1.152481557
231	1.148505546
232	1.14523632
233	1.14463805
234	1.139436728
235	1.135825202
236	1.135250788
237	1.131358368
238	1.127613354
239	1.127056425
240	1.122750651
241	1.118297039
242	1.117740855
243	1.114606624
244	1.114064382
245	1.109074821
246	1.10607458
247	1.105542675
248	1.102539195
249	1.099392787
250	1.093827581
251	1.089259021
252	1.08407694
253	1.080672244
254	1.077992738
255	1.077503293
256	1.072200271
257	1.067490787
258	1.063564439
259	1.059790232
260	1.056492423
261	1.053598486
262	1.049278328
263	1.044150235
264	1.038881686
265	1.034595722
266	1.0341238
267	1.031757911
268	1.027647749
269	1.024715978
270	1.020762036
271	1.016176194
272	1.015716054
273	1.015264982
274	1.012655859
275	1.00989976
276	1.005899443
277	1.001584071
278	0.9962637013
279	0.9958335592
280	0.993321204
281	0.9905225946
282	0.9880743136
283	0.9846523491
284	0.980260081
285	0.978056691
286	0.975688565
287	0.9724540644
288	0.9687345652
289	0.9665300116
290	0.9616750133
291	0.9572923449
292	0.9537459306
293	0.9508456228
294	0.9471162794
295	0.9429015187
296	0.9401423488
297	0.9379632817
298	0.9333327209
299	0.9312099607
300	0.9285176869
301	0.9252049583
302	0.9222231231
303	0.9176716214
304	0.915044963
305	0.9127882503
306	0.9091636781
307	0.9064821865
308	0.9021606591
309	0.8995422829
310	0.8961492981
311	0.8923283508
312	0.8890962699
313	0.8866018627
314	0.8848588915
315	0.8828619622
316	0.8797267995
317	0.8775523786
318	0.8772163556
319	0.8737351049
320	0.8709966012
321	0.8674978053
322	0.8643666177
323	0.8625362379
324	0.8588598071
325	0.8561058434
326	0.853977781
327	0.8508169457
328	0.848395173
329	0.846559413
330	0.8440951613
331	0.8417943751
332	0.8391043702
333	0.8353140349
334	0.8327373476
335	0.8324297758
336	0.8302243333
337	0.8299234613
338	0.8270969027
339	0.8254383979
340	0.8224555548
341	0.8197707255
342	0.8176100513
343	0.814521677
344	0.8119057747
345	0.8084337024
346	0.8062970611
347	0.8047126493
348	0.8026612708
349	0.8007282631
350	0.798049222
351	0.796318257
352	0.7960331535
353	0.7927728751
354	0.7925000062
355	0.7893108355
356	0.7877673407
357	0.7861035327
358	0.7843765582
359	0.7815548762
360	0.7793667206
361	0.7780850567
362	0.7760454428
363	0.7732831402
364	0.7711288765
365	0.7692843808
366	0.7677879893
367	0.7675432653
368	0.7652864269
369	0.7629364246
370	0.7608885419
371	0.7587688866
372	0.7571617158
373	0.7549765445
374	0.7535882417
375	0.7515853112
376	0.749723462
377	0.7469279416
378	0.7449299385
379	0.7429949731
380	0.741441787
